date,open,high,low,close,volume
2023-01-01,100.99342830602247,101.31751227541726,99.57805756397205,101.1186747311954,12715
2023-01-02,100.7168997036801,101.10198198409641,100.29625438091475,100.89012380842858,13121
2023-01-03,102.01227677988149,102.68919878018745,101.66956226335472,101.67226441909224,14166
2023-01-04,105.05833649269753,105.6700127815384,104.25605922347592,105.17446334127804,14107
2023-01-05,104.59002974325087,105.62102926574681,104.42874403158486,104.7365659799002,9244
2023-01-06,104.12175582935251,105.0530359484687,103.71770497253797,103.76458012033933,10124
2023-01-07,107.28018146036729,108.11939898358993,105.39399555915676,108.11939898358993,13030
2023-01-08,108.81505091867311,109.12426329452433,108.64047310584127,109.051967379129,13027
2023-01-09,107.8761021468032,108.20736557820678,107.61855175608044,107.61855175608044,13030
2023-01-10,108.96122223397514,109.9367673610975,108.88677631820897,109.28949903829205,19705
2023-01-11,108.03438684835021,108.5135610861955,106.11561563305116,107.54704601323655,13141
2023-01-12,107.10292734120969,107.28858631787351,107.07641346576048,107.28858631787351,14271
2023-01-13,107.58685188434175,108.69318685834779,107.52662167440073,108.16614967384545,13908
2023-01-14,103.76029139502616,104.95649801910683,101.29704928254087,103.3499502358503,13302
2023-01-15,100.31045573000009,101.12298155239428,100.11809476521897,100.79214379462225,11369
2023-01-16,99.18588067151813,100.54212070008896,98.88433332918453,99.39227113498639,13517
2023-01-17,97.16021843084928,97.23222855242962,97.12550666114404,97.23222855242962,10454
2023-01-18,97.78871309603983,98.79224599393186,96.6200350584203,98.7371095873668,11526
2023-01-19,95.9726649449974,96.33430097004504,94.82984213048239,95.84997088699598,11029
2023-01-20,93.14805754232682,93.79317729693194,92.39612450964005,92.77118946014808,12163
2023-01-21,96.07935508016993,96.44075068567835,95.28832313312688,95.63459786535716,16629
2023-01-22,95.62780247919686,97.16583904566284,94.71841502440212,95.21989733671414,8265
2023-01-23,95.76285888857271,95.79868492768266,94.3600645776366,95.72430803386565,13372
2023-01-24,92.9133625161458,94.4780061719598,91.51151145335352,93.08393850355412,8774
2023-01-25,91.82459706709543,94.44434217118517,91.23773997329515,91.96294246676044,11056
2023-01-26,92.04644224651516,92.86834475089037,89.85598662070518,92.46003387103316,14177
2023-01-27,89.74445509167055,89.83150215990872,88.75391876653985,89.7509560376095,12128
2023-01-28,90.49585112836189,90.79485847882776,89.92955339875913,90.79485847882776,9844
2023-01-29,89.29457374852429,89.3863345250598,89.19492238343665,89.19492238343665,10569
2023-01-30,88.71118624893774,90.69875516353864,88.20771059482153,90.07127083223254,13359
2023-01-31,87.50777302447894,87.72744491231644,85.95710959341281,87.72744491231644,10539
2023-02-01,91.21232939349682,91.56944196500856,91.14376641869079,91.14376641869079,12432
2023-02-02,91.18533494402095,92.66322898876247,90.12303123029484,90.6498886949904,12091
2023-02-03,89.06991308610915,89.5881833043828,88.59632065547397,89.31114929373075,10696
2023-02-04,90.71500291031553,91.52349651320873,89.79557867608173,90.6032715176526,16287
2023-02-05,88.27331561037349,88.77507265395802,86.72338120535595,88.63031585741953,13267
2023-02-06,88.691042800383,89.60644491808507,87.90778950804676,88.92766161266978,7949
2023-02-07,84.77170255262345,85.10045366228314,84.44964103641777,84.73528809629502,12372
2023-02-08,82.11533045482659,82.64509065859363,81.30181323745693,81.69193359579239,10676
2023-02-09,82.50905292656483,83.02232035967819,81.27818861013088,81.7516293142219,13704
2023-02-10,83.98598608655566,84.0830636359037,83.75852615195153,83.76272861052215,10414
2023-02-11,84.3287226489356,85.29736763946849,83.02157989465317,84.75692204609733,11770
2023-02-12,84.09742608415911,84.79947917803646,82.48994284959788,84.20447295622421,13009
2023-02-13,83.49521869298053,83.8228808395783,83.31058483444822,83.31058483444822,13731
2023-02-14,80.53817471224568,80.93028286537783,80.27829191799725,80.62476517517126,9599
2023-02-15,79.09848629545625,80.56200124358837,78.31666342367895,79.29114498532067,11330
2023-02-16,78.17720875353668,78.47332903060125,76.9402580426586,77.7352800354361,11050
2023-02-17,80.2914532059745,80.5525084781544,78.97099659289023,80.36831575894728,10693
2023-02-18,80.97868978511143,80.98380324175389,80.45674821949453,80.98380324175389,15530
2023-02-19,77.45260947438597,77.68719660776111,77.15562480115278,77.15562480115278,12809
